       value	     chindex	     chlabel	        bini	     ERPset
5.638	1	          Fz	1	4
6.431	2	         FCz	1	4
6.726	3	          Cz	1	4
7.015	4	         CPz	1	4
5.399	5	          Pz	1	4
2.384	6	          Oz	1	4
3.598	7	         FP1	1	4
4.872	8	          F3	1	4
1.921	9	          F7	1	4
4.962	10	         FC3	1	4
1.327	11	         FT7	1	4
5.229	12	          C3	1	4
4.432	13	         FP2	1	4
6.154	14	          F4	1	4
4.289	15	          F8	1	4
7.084	16	         FC4	1	4
4.128	17	         FT8	1	4
7.435	18	          C4	1	4
5.292	19	         CP3	1	4
0.504	20	         TP7	1	4
-0.789	21	          LM	1	4
4.997	22	          P3	1	4
0.398	23	          P7	1	4
1.434	24	          O1	1	4
7.763	25	         CP4	1	4
4.604	26	         TP8	1	4
0.789	27	          RM	1	4
8.487	28	          P4	1	4
4.527	29	          P8	1	4
2.975	30	          O2	1	4
3.368	31	        HEOG	1	4
3.984	32	        VEOG	1	4
2.39	33	         NAZ	1	4
3.811	34	         FPz	1	4
3.836	35	         AFz	1	4
5.41	36	         POZ	1	4
4.045	37	         AF3	1	4
2.884	38	         AF7	1	4
5.479	39	          F1	1	4
3.413	40	          F5	1	4
5.963	41	         FC1	1	4
3.255	42	         FC5	1	4
6.259	43	          C1	1	4
3.172	44	          C5	1	4
4.99	45	         AF4	1	4
4.522	46	         AF8	1	4
5.926	47	          F2	1	4
5.527	48	          F6	1	4
6.889	49	         FC2	1	4
6.022	50	         FC6	1	4
7.334	51	          C2	1	4
6.283	52	          C6	1	4
6.25	53	         CP1	1	4
3.296	54	         CP5	1	4
5.926	55	          P1	1	4
3.406	56	          P5	1	4
3.854	57	         PO3	1	4
0.695	58	         PO7	1	4
7.709	59	         CP2	1	4
6.836	60	         CP6	1	4
7.89	61	          P2	1	4
7.784	62	          P6	1	4
6.99	63	         PO4	1	4
4.097	64	         PO8	1	4
5.036	1	          Fz	2	4
5.743	2	         FCz	2	4
6.121	3	          Cz	2	4
6.387	4	         CPz	2	4
5.093	5	          Pz	2	4
2.422	6	          Oz	2	4
2.296	7	         FP1	2	4
4.152	8	          F3	2	4
1.186	9	          F7	2	4
4.488	10	         FC3	2	4
0.863	11	         FT7	2	4
4.582	12	          C3	2	4
2.721	13	         FP2	2	4
4.563	14	          F4	2	4
2.289	15	          F8	2	4
5.539	16	         FC4	2	4
2.577	17	         FT8	2	4
6.024	18	          C4	2	4
4.873	19	         CP3	2	4
0.428	20	         TP7	2	4
-0.73	21	          LM	2	4
4.667	22	          P3	2	4
0.219	23	          P7	2	4
1.435	24	          O1	2	4
6.64	25	         CP4	2	4
3.727	26	         TP8	2	4
0.73	27	          RM	2	4
7.619	28	          P4	2	4
4.106	29	          P8	2	4
3.002	30	          O2	2	4
1.447	31	        HEOG	2	4
1.633	32	        VEOG	2	4
