id,trialnum,question_num,question,tot,rt
2,1,81,In what country is the Dalai Lama's palace?,N/A,0
2,2,135,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,N/A,0
2,3,13,What is the name of Batman's butler?,N/A,0
2,4,96,What is the last name of the person who has graced the most Sports Illustrated covers?,yes,1.839147777
2,5,64,What kind of poison did Socrates take at his execution?,yes,2.265823535
2,6,40,What's the largest gland in the human body?,N/A,0
2,7,142,Which big cat usually carries its dead prey up into a tree to eat it?,N/A,0
2,8,67,What is the last name of the man who wrote the Star Spangled Banner?,no,1.755709972
2,9,144,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,1.883418347
2,10,60,What is the name of the unit of measure that refers to a six-foot depth of water?,yes,2.467452539
2,11,103,What is the most populous country in Africa?,no,1.828465345
2,12,34,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,1.973723408
2,13,71,What is the name of the British admiral who won the Battle of Trafalgar?,yes,3.209500764
2,14,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,1.639415609
2,15,102,What is the capital of Russia?,N/A,0
2,16,138,What is the largest city in Canada?,N/A,0
2,17,136,According to the FDA what's the only fish that produces real caviar?,N/A,0
2,18,143,What is the Taj Majal made of?,N/A,0
2,19,118,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0
2,20,62,In which city is Michelangelo's statue of David located?,N/A,0
2,21,97,Brown vs. Board of Education the landmark civil-rights case originated in what state?,yes,2.161186934
2,22,54,What is the name of the island on which Napoleon was born?,N/A,0
2,23,115,Who was the leader of the Argonauts?,N/A,0
2,24,3,What is the last name of the author who wrote Brothers Karamazov?,N/A,0
2,25,106,What is the longest river in South America?,N/A,0
2,26,52,What is the capital of Wyoming?,no,1.795835957
2,27,50,The general named Hannibal was from what city?,N/A,0
2,28,17,What is the last name of the author who wrote Oliver Twist?,N/A,0
2,29,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.817275793
2,30,48,What is the name of the man who assassinated Abraham Lincoln?,no,1.525679158
2,31,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0
2,32,65,Who was the most famous Greek doctor?,N/A,0
2,33,11,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,N/A,0
2,34,12,What drug was named after the Greek god of dreams?,yes,3.283787809
2,35,139,In which country is Angel Falls located?,no,1.658308709
2,36,44,What is the last name of the author of Little Women?,no,1.900746252
2,37,69,What is the highest mountain in the U.S.?,no,2.111750028
2,38,86,What nuts are used in marzipan? ,N/A,0
2,39,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,no,1.949061138
2,40,88,What igneous rock makes up the bulk of Devils Tower?,N/A,0
2,41,105,What virus killed two million people in 1967?,N/A,0
2,42,120,What city was Martin Luther King Jr. assassinated in?,no,2.099204168
2,43,133,What nation signed away a fourth of its European land in a 1918 Treaty?,N/A,0
2,44,46,In what European city is the Parthenon located?,N/A,0
2,45,107,What is the last name of the first person to set foot on the moon?,N/A,0
2,46,140,What country was formerly known as the Belgian Congo?,N/A,0
2,47,9,What is the last name of Batman's secret identity in the Batman comics?,N/A,0
2,48,74,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0
2,49,20,What is the capital of Kentucky?,N/A,0
2,50,18,What is the capital of Delaware?,no,1.888871865
2,51,93,What island is the largest in the world excluding Australia?,N/A,0
2,52,28,What is the last name of the author of the book 1984?,N/A,0
2,53,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.858038586
2,54,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,2.470062008
2,55,101,In which city is Heathrow Airport located?,no,1.582397304
2,56,51,Who was the first ruler of the Holy Roman Empire?,no,1.310937768
2,57,78,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0
2,58,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,N/A,0
2,59,30,What is the name of the organ that produces insulin?,no,1.76172361
2,60,68,What Peanuts character clings to a security blanket?,N/A,0
2,61,131,What staple crop does half the world's population depend on?,N/A,0
2,62,77,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0
2,63,6,In the bible whose name was changed to Israel?,N/A,0
2,64,129,What was Cinderella's coach made from?,N/A,0
2,65,41,What is the name of the furry animal that attacks cobra snakes?,N/A,0
2,66,121,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0
2,67,73,What country has the ancient ruins of Machu Picchu?,N/A,0
2,68,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.425795757
2,69,2,What is the name of the collar bone?,no,1.339450694
2,70,84,What's heaven to fallen Norse warriors?,N/A,0
2,71,87,What is the more common name for a mandrill?,yes,2.869542865
2,72,134,What country's civil war was described as a 'rehearsal for World War II'?,N/A,0
2,73,38,What is the last name of the author who wrote Brave New World?,no,1.150332641
2,74,124,What major city is on an island in the St. Lawrence River?,no,0.581362575
2,75,72,What colorless gas is essential in the production of fertilizers and light bulbs?,N/A,0
2,76,61,What is the last name of the author of the James Bond novels?,N/A,0
2,77,23,What country gave the world the word 'geyser' for a hot spring?,N/A,0
2,78,47,In what ancient city were the Hanging Gardens located?,N/A,0
2,79,132,What was the last name of the woman who designed and sewed the first American flag?,N/A,0
2,80,111,What is the name for a medical doctor who specializes in diseases of the skin?,yes,2.638071988
2,81,14,Who was the title character in 'The Merchant of Venice'?,yes,2.722656939
2,82,127,What is the name of Socrates' most famous student?,N/A,0
2,83,75,What is the world's largest snake?,N/A,0
2,84,91,What is the last name of the man who supposedly killed Jesse James?,yes,2.141778864
2,85,43,What is the last name of the second U.S. president?,N/A,0
2,86,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,yes,2.480690392
2,87,33,What is the name of the crime in which a person purposely betrays their country?,N/A,0
2,88,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0
2,89,55,What is the last name of the scientist who discovered radium?,yes,4.063840884
2,90,85,What animals travel in pods? ,N/A,0
2,91,76,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,no,0.602067739
2,92,113,What is the last name of the villainous captain in the story Peter Pan?,N/A,0
2,93,100,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,yes,2.247514439
2,94,147,What is the name of the constellation that looks like a flying horse?,N/A,0
2,95,126,What is the last name of the artist who painted Guernica?,N/A,0
2,96,59,What is the name of a female sheep?,yes,4.488690028
2,97,145,What is the last name of the man who invented dynamite?,N/A,0
2,98,45,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,yes,2.450317004
2,99,79,What spice do chefs pay the most for?,N/A,0
2,100,80,What is the capital of Chile?,no,1.766030398
2,101,141,What is the name of the captain of the Pequod in the book Moby Dick?,yes,2.293996319
2,102,112,What is the first book of the Old Testament?,N/A,0
2,103,83,What is the name of the mountain range that separates Asia from Europe?,no,2.304871703
2,104,63,What is the last name of the author who wrote 'The Old Man and the Sea'?,N/A,0
2,105,7,What is the last name of the man who first studied genetic inheritance in plants?,yes,1.978118993
2,106,19,What is May's birthstone?,no,1.541503916
2,107,57,What is the last name of the man who invented the phonograph?,no,1.395902403
2,108,66,Over which river is the George Washington Bridge?,yes,5.814379423
2,109,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.906303975
2,110,82,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,N/A,0
2,111,10,What is the last name of the man who wrote Canterbury Tales?,N/A,0
2,112,108,Who was The Friendly Ghost?,N/A,0
2,113,1,What is the name of the palace in London in which the monarch of England resides?,N/A,0
2,114,146,What country joins Central America to South America?,N/A,0
2,115,92,What is the last name of the man who showed that lightning is electricity?,N/A,0
2,116,58,What's the northernmost Baltic republic?,no,2.972642686
2,117,39,What country's capital is Tripoli?,no,2.958293909
2,118,24,What is the capital of Jamaica?,no,1.094794918
2,119,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,N/A,0
2,120,116,What is the last name of the person who defined 'The Beat Generation'?,N/A,0
2,121,36,What sitcom received a record 117 Emmy nominations?,no,0.985057502
2,122,119,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0
2,123,130,What's the 'Q' short for in Q-Tips?,no,2.461164123
2,124,94,What were raced in Greek and Roman hippodromes? ,no,1.427589045
2,125,110,What is the capital of Denmark?,N/A,0
2,126,95,What is the last name of the discoverer of the vaccination for smallpox?,yes,1.964464004
2,127,104,What is the name of the process by which plants make their food?,N/A,0
2,128,0,What is the name of the river that runs through Rome?,yes,5.141092274
2,129,49,What is the last name of the criminal known as Scarface?,no,1.957913767
2,130,149,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,1.362826282
2,131,148,What country's ships transported four million African slaves to Brazil?,N/A,0
2,132,137,What liquor packs the punch in an Aztec Punch?,no,1.00954276
2,133,128,What is the name of a dried plum?,N/A,0
2,134,21,What is the last name of the first U.S. President to die in office?,N/A,0
2,135,31,What was the capital of Czechoslovakia?,no,1.717674722
2,136,32,What is the capital of Bulgaria?,N/A,0
2,137,4,What was the name of the first Apollo lunar module that landed the first man on the moon?,N/A,0
2,138,122,Which dynasty was in power throughout the 1500's in China?,N/A,0
2,139,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,N/A,0
2,140,125,What is the name of the American who starred in the 1936 Olympics?,no,1.535126037
2,141,53,What is the northernmost country in continental South America?,no,1.147289054
2,142,114,What company invented the microprocessor in 1971?,N/A,0
2,143,98,Of which country is Nairobi the capital?,N/A,0
2,144,29,What is the last name of the man who assassinated President John Kennedy?,no,3.886679173
2,145,25,What is the name of the project which developed the atomic bomb during World War II?,N/A,0
2,146,22,Of which country is Budapest the capital?,N/A,0
2,147,37,What is the last name of the boy in the book Treasure Island?,no,1.341604559
2,148,123,What is the last name of the man who was president directly after James Madison?,no,2.177223194
2,149,15,What is the last name of the male star of the movie Casablanca?,no,1.23776554
2,150,117,What human organ (or organs) does a nephrologist treat?,N/A,0
