id,trialnum,question_num,question,tot,rt
5,1,47,In what ancient city were the Hanging Gardens located?,yes,2.107561676106343
5,2,118,What is the last name of the man who began the Protestant reformation in Germany?,no,1.713232935693668
5,3,92,What is the last name of the man who showed that lightning is electricity?,no,8.049298897298286
5,4,122,Which dynasty was in power throughout the 1500's in China?,no,0.5424378577517928
5,5,31,What was the capital of Czechoslovakia?,no,1.7631565585688804
5,6,127,What is the name of Socrates' most famous student?,N/A,0
5,7,39,What country's capital is Tripoli?,no,1.6606362788825209
5,8,48,What is the name of the man who assassinated Abraham Lincoln?,no,1.7225179640117858
5,9,11,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,no,1.7346713247461594
5,10,89,What is the last name of the renowned English author who had been a Polish sailor?,no,1.29465098491346
5,11,131,What staple crop does half the world's population depend on?,N/A,0
5,12,37,What is the last name of the boy in the book Treasure Island?,no,1.467506119994141
5,13,69,What is the highest mountain in the U.S.?,no,1.5538579569947615
5,14,81,In what country is the Dalai Lama's palace?,N/A,0
5,15,55,What is the last name of the scientist who discovered radium?,N/A,0
5,16,3,What is the last name of the author who wrote Brothers Karamazov?,no,1.3123133376775513
5,17,38,What is the last name of the author who wrote Brave New World?,no,1.7128241992886615
5,18,25,What is the name of the project which developed the atomic bomb during World War II?,no,1.3969266402673384
5,19,53,What is the northernmost country in continental South America?,N/A,0
5,20,146,What country joins Central America to South America?,N/A,0
5,21,85,What animals travel in pods? ,N/A,0
5,22,68,What Peanuts character clings to a security blanket?,no,0.8214325798198843
5,23,113,What is the last name of the villainous captain in the story Peter Pan?,N/A,0
5,24,0,What is the name of the river that runs through Rome?,no,0.40715048368474527
5,25,120,What city was Martin Luther King Jr. assassinated in?,N/A,0
5,26,149,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,0.4584761966816586
5,27,103,What is the most populous country in Africa?,no,2.403350754348139
5,28,97,Brown vs. Board of Education the landmark civil-rights case originated in what state?,no,1.4545575910979096
5,29,4,What was the name of the first Apollo lunar module that landed the first man on the moon?,N/A,0
5,30,52,What is the capital of Wyoming?,N/A,0
5,31,111,What is the name for a medical doctor who specializes in diseases of the skin?,no,1.562178818103348
5,32,60,What is the name of the unit of measure that refers to a six-foot depth of water?,no,2.0102498922351515
5,33,56,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,0.3582880306748848
5,34,75,What is the world's largest snake?,N/A,0
5,35,43,What is the last name of the second U.S. president?,no,0.331912550749621
5,36,62,In which city is Michelangelo's statue of David located?,no,1.6802648739412689
5,37,2,What is the name of the collar bone?,no,1.5943838654711726
5,38,58,What's the northernmost Baltic republic?,no,1.0418116685868881
5,39,134,What country's civil war was described as a 'rehearsal for World War II'?,no,1.5468811738755903
5,40,98,Of which country is Nairobi the capital?,N/A,0
5,41,107,What is the last name of the first person to set foot on the moon?,N/A,0
5,42,74,In which sport does a rider on horseback hit a ball with a mallet?,no,0.8886492606889078
5,43,65,Who was the most famous Greek doctor?,no,1.5694724926070194
5,44,124,What major city is on an island in the St. Lawrence River?,no,1.2082688587033772
5,45,128,What is the name of a dried plum?,no,3.0371408851679007
5,46,28,What is the last name of the author of the book 1984?,no,1.3779205503487901
5,47,42,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,N/A,0
5,48,16,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0
5,49,94,What were raced in Greek and Roman hippodromes? ,no,0.5487002255522384
5,50,145,What is the last name of the man who invented dynamite?,no,0.8605801864559908
5,51,18,What is the capital of Delaware?,N/A,0
5,52,129,What was Cinderella's coach made from?,no,0.40880896195812966
5,53,32,What is the capital of Bulgaria?,no,0.27701960302874795
5,54,41,What is the name of the furry animal that attacks cobra snakes?,N/A,0
5,55,19,What is May's birthstone?,no,0.6558566237272316
5,56,140,What country was formerly known as the Belgian Congo?,N/A,0
5,57,40,What's the largest gland in the human body?,N/A,0
5,58,104,What is the name of the process by which plants make their food?,N/A,0
5,59,108,Who was The Friendly Ghost?,no,0.3107514711045951
5,60,148,What country's ships transported four million African slaves to Brazil?,no,0.36690112275027786
5,61,136,According to the FDA what's the only fish that produces real caviar?,no,0.2721556663818774
5,62,70,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,no,0.2987502581327135
5,63,7,What is the last name of the man who first studied genetic inheritance in plants?,no,0.2519898551454389
5,64,34,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,1.371903909577668
5,65,71,What is the name of the British admiral who won the Battle of Trafalgar?,no,0.8655444489013462
5,66,36,What sitcom received a record 117 Emmy nominations?,no,0.36873935141011316
5,67,130,What's the 'Q' short for in Q-Tips?,no,1.2206679414557584
5,68,12,What drug was named after the Greek god of dreams?,no,0.3552971329754655
5,69,100,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,0.4738739261192677
5,70,30,What is the name of the organ that produces insulin?,no,2.1918846574099007
5,71,80,What is the capital of Chile?,N/A,0
5,72,45,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,no,0.7905265550598415
5,73,49,What is the last name of the criminal known as Scarface?,no,0.6663033933145925
5,74,57,What is the last name of the man who invented the phonograph?,no,2.0739184903013665
5,75,110,What is the capital of Denmark?,N/A,0
5,76,29,What is the last name of the man who assassinated President John Kennedy?,no,0.8117405944558413
5,77,112,What is the first book of the Old Testament?,no,0.8417017994088383
5,78,24,What is the capital of Jamaica?,no,1.1301438524387777
5,79,137,What liquor packs the punch in an Aztec Punch?,no,0.3221744473958097
5,80,109,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,0.29045971129198733
5,81,10,What is the last name of the man who wrote Canterbury Tales?,no,0.2945575860867393
5,82,87,What is the more common name for a mandrill?,no,0.9284716054335149
5,83,116,What is the last name of the person who defined 'The Beat Generation'?,no,0.3571950228051719
5,84,96,What is the last name of the person who has graced the most Sports Illustrated covers?,no,0.4076577514897508
5,85,79,What spice do chefs pay the most for?,no,2.1297424991225853
5,86,9,What is the last name of Batman's secret identity in the Batman comics?,no,0.6693832289111015
5,87,126,What is the last name of the artist who painted Guernica?,no,0.3358833792790392
5,88,27,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,0.3209076587627351
5,89,54,What is the name of the island on which Napoleon was born?,no,0.9065733847928641
5,90,1,What is the name of the palace in London in which the monarch of England resides?,N/A,0
5,91,142,Which big cat usually carries its dead prey up into a tree to eat it?,N/A,0
5,92,17,What is the last name of the author who wrote Oliver Twist?,no,0.7173102701617609
5,93,141,What is the name of the captain of the Pequod in the book Moby Dick?,no,0.279078823117743
5,94,6,In the bible whose name was changed to Israel?,N/A,0
5,95,93,What island is the largest in the world excluding Australia?,N/A,0
5,96,132,What was the last name of the woman who designed and sewed the first American flag?,no,0.3786734198783961
5,97,35,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,no,0.40540824018717103
5,98,139,In which country is Angel Falls located?,no,0.3273767680821038
5,99,26,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,0.3001327402143943
5,100,144,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,0.3134920004013111
5,101,125,What is the name of the American who starred in the 1936 Olympics?,N/A,0
5,102,88,What igneous rock makes up the bulk of Devils Tower?,no,0.41869498270716576
5,103,8,What is the unit of electrical power that refers to the current of one ampere at one volt?,N/A,0
5,104,61,What is the last name of the author of the James Bond novels?,no,0.5408096987612225
5,105,78,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,no,0.2868183800310362
5,106,21,What is the last name of the first U.S. President to die in office?,N/A,0
5,107,123,What is the last name of the man who was president directly after James Madison?,no,0.261914014336071
5,108,99,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,no,1.4222153375776543
5,109,15,What is the last name of the male star of the movie Casablanca?,no,1.3246567891346785
5,110,33,What is the name of the crime in which a person purposely betrays their country?,no,0.06887824169280066
5,111,86,What nuts are used in marzipan? ,N/A,0
5,112,135,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,no,2.092759896746429
5,113,63,What is the last name of the author who wrote 'The Old Man and the Sea'?,no,0.3325989173481503
5,114,51,Who was the first ruler of the Holy Roman Empire?,no,0.6574332614909508
5,115,147,What is the name of the constellation that looks like a flying horse?,N/A,0
5,116,5,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,0.9797920104247169
5,117,73,What country has the ancient ruins of Machu Picchu?,N/A,0
5,118,143,What is the Taj Majal made of?,N/A,0
5,119,133,What nation signed away a fourth of its European land in a 1918 Treaty?,N/A,0
5,120,119,What is the name of the ship that carried the pilgrims to America in 1620?,no,0.2697959951874509
5,121,22,Of which country is Budapest the capital?,N/A,0
5,122,90,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,0.4101375520021975
5,123,105,What virus killed two million people in 1967?,no,0.3302810986915574
5,124,121,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0
5,125,95,What is the last name of the discoverer of the vaccination for smallpox?,no,1.7905265099489043
5,126,138,What is the largest city in Canada?,N/A,0
5,127,82,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,no,0.5520869129359198
5,128,84,What's heaven to fallen Norse warriors?,no,0.3868853691546974
5,129,46,In what European city is the Parthenon located?,no,1.875375880907086
5,130,59,What is the name of a female sheep?,no,0.35321444539113145
5,131,14,Who was the title character in 'The Merchant of Venice'?,no,0.412511312715651
5,132,13,What is the name of Batman's butler?,no,1.1029054533591989
5,133,101,In which city is Heathrow Airport located?,N/A,0
5,134,83,What is the name of the mountain range that separates Asia from Europe?,no,0.9845861260073434
5,135,23,What country gave the world the word 'geyser' for a hot spring?,no,1.426586682371635
5,136,114,What company invented the microprocessor in 1971?,N/A,0
5,137,91,What is the last name of the man who supposedly killed Jesse James?,no,0.3454475615253614
5,138,117,What human organ (or organs) does a nephrologist treat?,N/A,0
5,139,67,What is the last name of the man who wrote the Star Spangled Banner?,no,0.40647526439715875
5,140,115,Who was the leader of the Argonauts?,no,0.3247284597273392
5,141,76,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,no,0.32019233622304455
5,142,64,What kind of poison did Socrates take at his execution?,N/A,0
5,143,66,Over which river is the George Washington Bridge?,N/A,0
5,144,102,What is the capital of Russia?,N/A,0
5,145,20,What is the capital of Kentucky?,no,0.3056472307162039
5,146,106,What is the longest river in South America?,no,1.318940920255045
5,147,72,What colorless gas is essential in the production of fertilizers and light bulbs?,no,0.29795430304329784
5,148,44,What is the last name of the author of Little Women?,no,0.3661769284735783
5,149,77,What brand name drug is most often prescribed to treat attention deficit disorder?,no,0.472019096785516
5,150,50,The general named Hannibal was from what city?,no,0.7732349706784589
