question_num,id,trialnum,question,tot,rt,test_trialnum,subj_answer,correct_answer,recall,mistake,recall_notChecked
81,2,1,In what country is the Dalai Lama's palace?,N/A,0,58,tibet,TIBET,C,0,C
135,2,2,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,N/A,0,18,sphinx,SPHINX,C,0,C
13,2,3,What is the name of Batman's butler?,N/A,0,113,alfred,ALFRED,C,0,C
96,2,4,What is the last name of the person who has graced the most Sports Illustrated covers?,yes,1.839147777,67,jordan,JORDAN,C,0,C
64,2,5,What kind of poison did Socrates take at his execution?,yes,2.265823535,127,hemlock,HEMLOCK,C,0,C
40,2,6,What's the largest gland in the human body?,N/A,0,53,pancreas,LIVER,I,0,I
142,2,7,Which big cat usually carries its dead prey up into a tree to eat it?,N/A,0,24,leopard,LEOPARD,C,0,C
67,2,8,What is the last name of the man who wrote the Star Spangled Banner?,no,1.755709972,149,,KEY,I,0,I
144,2,9,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,1.883418347,81,mozart,MOZART,C,0,C
60,2,10,What is the name of the unit of measure that refers to a six-foot depth of water?,yes,2.467452539,5,fathoms,FATHOM,C,0,I
103,2,11,What is the most populous country in Africa?,no,1.828465345,84,nigeria,NIGERIA,C,0,C
34,2,12,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,1.973723408,13,ventnor,VENTNOR,C,0,C
71,2,13,What is the name of the British admiral who won the Battle of Trafalgar?,yes,3.209500764,45,nelson,NELSON,C,0,C
42,2,14,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,1.639415609,25,peakness,PREAKNESS,C,0,I
102,2,15,What is the capital of Russia?,N/A,0,96,moscow,MOSCOW,C,0,C
138,2,16,What is the largest city in Canada?,N/A,0,39,montreal,TORONTO,I,0,I
136,2,17,According to the FDA what's the only fish that produces real caviar?,N/A,0,63,salmon,STURGEON,I,0,I
143,2,18,What is the Taj Majal made of?,N/A,0,22,marble,MARBLE,C,0,C
118,2,19,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0,102,luther,LUTHER,C,0,C
62,2,20,In which city is Michelangelo's statue of David located?,N/A,0,103,rome,FLORENCE,I,0,I
97,2,21,Brown vs. Board of Education the landmark civil-rights case originated in what state?,yes,2.161186934,17,kansas,KANSAS,C,0,C
54,2,22,What is the name of the island on which Napoleon was born?,N/A,0,109,sicily,CORSICA,I,0,I
115,2,23,Who was the leader of the Argonauts?,N/A,0,55,jason,JASON,C,0,C
3,2,24,What is the last name of the author who wrote Brothers Karamazov?,N/A,0,120,tolstoy,DOSTOEVSKY,I,0,I
106,2,25,What is the longest river in South America?,N/A,0,119,amazon,AMAZON,C,0,C
52,2,26,What is the capital of Wyoming?,no,1.795835957,89,,CHEYENNE,I,0,I
50,2,27,The general named Hannibal was from what city?,N/A,0,16,carthage,CARTHAGE,C,0,C
17,2,28,What is the last name of the author who wrote Oliver Twist?,N/A,0,100,dickens,DICKENS,C,0,C
109,2,29,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.817275793,50,cheshire,CHESHIRE,C,0,C
48,2,30,What is the name of the man who assassinated Abraham Lincoln?,no,1.525679158,146,booth,BOOTH,C,0,C
16,2,31,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0,92,julia chile,CHILD,C,0,I
65,2,32,Who was the most famous Greek doctor?,N/A,0,41,hippocrates,HIPPOCRATES,C,0,C
11,2,33,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,N/A,0,73,lee,JACKSON,I,0,I
12,2,34,What drug was named after the Greek god of dreams?,yes,3.283787809,145,morphine,MORPHINE,C,0,C
139,2,35,In which country is Angel Falls located?,no,1.658308709,131,venezuela,VENEZUELA,C,0,C
44,2,36,What is the last name of the author of Little Women?,no,1.900746252,142,alcott,ALCOTT,C,0,C
69,2,37,What is the highest mountain in the U.S.?,no,2.111750028,44,,MCKINLEY,I,0,I
86,2,38,What nuts are used in marzipan? ,N/A,0,112,macadamia,ALMONDS,I,0,I
35,2,39,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,no,1.949061138,60,warhol,WARHOL,C,0,C
88,2,40,What igneous rock makes up the bulk of Devils Tower?,N/A,0,90,granite,BASALT,I,0,I
105,2,41,What virus killed two million people in 1967?,N/A,0,42,spanish flu,SMALLPOX,I,0,I
120,2,42,What city was Martin Luther King Jr. assassinated in?,no,2.099204168,148,,MEMPHIS,I,0,I
133,2,43,What nation signed away a fourth of its European land in a 1918 Treaty?,N/A,0,105,russia,RUSSIA,C,0,C
46,2,44,In what European city is the Parthenon located?,N/A,0,110,athens,ATHENS,C,0,C
107,2,45,What is the last name of the first person to set foot on the moon?,N/A,0,133,armstrong,ARMSTRONG,C,0,C
140,2,46,What country was formerly known as the Belgian Congo?,N/A,0,49,congo,ZAIRE,I,0,I
9,2,47,What is the last name of Batman's secret identity in the Batman comics?,N/A,0,10,wayne,WAYNE,C,0,C
74,2,48,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0,77,polo,POLO,C,0,C
20,2,49,What is the capital of Kentucky?,N/A,0,33,lousiville,FRANKFORT,I,0,I
18,2,50,What is the capital of Delaware?,no,1.888871865,139,,DOVER,I,0,I
93,2,51,What island is the largest in the world excluding Australia?,N/A,0,3,indonesia,GREENLAND,I,0,I
28,2,52,What is the last name of the author of the book 1984?,N/A,0,144,orwell,ORWELL,C,0,C
89,2,53,What is the last name of the renowned English author who had been a Polish sailor?,no,1.858038586,86,conrad,CONRAD,C,0,C
5,2,54,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,2.470062008,121,hindenberg,HINDENBURG,C,0,I
101,2,55,In which city is Heathrow Airport located?,no,1.582397304,71,london,LONDON,C,0,C
